ServerName	DatabaseName	DatabaseFileName	FileType	TimeDataCollected	CounterName	AggregatorType	Value	
8cf808bf3e50				15/08/2022 17:01	ICP	Variance	18.409971	
8cf808bf3e50				15/08/2022 17:01	ICP	Max	17	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FRM	Mean	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FRM	Occurence	18	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FRM	Variance	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FRM	Max	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FWM	Mean	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FWM	Occurence	18	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FWM	Variance	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FWM	Max	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FNW	Mean	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FNW	Occurence	18	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FNW	Variance	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FNW	Max	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FNR	Mean	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FNR	Occurence	18	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FNR	Variance	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FNR	Max	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FRL	Mean	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FRL	Occurence	18	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FRL	Variance	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FRL	Max	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FWL	Mean	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FWL	Occurence	18	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FWL	Variance	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB.mdf	ROWS	15/08/2022 17:01	FWL	Max	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB_log.ldf	LOG	15/08/2022 17:01	FRM	Mean	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB_log.ldf	LOG	15/08/2022 17:01	FRM	Occurence	18	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB_log.ldf	LOG	15/08/2022 17:01	FRM	Variance	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB_log.ldf	LOG	15/08/2022 17:01	FRM	Max	0	
8cf808bf3e50	MyWebAPIDB	/var/opt/mssql/data/MyWebAPIDB_log.ldf	LOG	15/08/2022 17:01	FWM	Mean	0	
